"Entry"	"Entry Name"	"Protein names"	"Gene Names"	"Organism"	"Gene Ontology IDs"	"Gene Ontology (GO)"	"Gene Ontology (biological process)"	"Gene Ontology (cellular component)"	"Gene Ontology (molecular function)"	"Organism (ID)"	"Gene Names (synonym)"	"Gene Names (ordered locus)"	"Gene Names (ORF)"	"Gene Names (primary)"	"Proteomes"	"Protein families"	"RefSeq"	"KEGG"	"GeneID"	"EnsemblBacteria"	"Annotation"	"Keywords"	"Caution"	"Keyword ID"	"Miscellaneous [CC]"	"Protein existence"	"Reviewed"	"Tools"	"UniParc"	"Comments"	"Features"	"Taxonomic lineage"	"Taxonomic lineage (Ids)"	"Virus hosts"	"Intramembrane"	"Subcellular location [CC]"	"Topological domain"	"Transmembrane"
"Q8PZK6"	"Q8PZK6_METMA"	"Type-4 uracil-DNA glycosylase (EC 3.2.2.27)"	"MM_0486"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0004844; GO:0006281; GO:0046872; GO:0051539"	"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; uracil DNA N-glycosylase activity [GO:0004844]; DNA repair [GO:0006281]"	"DNA repair [GO:0006281]"		"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; uracil DNA N-glycosylase activity [GO:0004844]"	192952		"MM_0486"			"UP000000595: Chromosome"	"Uracil-DNA glycosylase (UDG) superfamily, Type 4 (UDGa) family"	"WP_011032439.1;"	"mma:MM_0486;"	"44086292;66134336;"	"AAM30182;"	2	"4Fe-4S;Iron;Iron-sulfur;Metal-binding"		"KW-0004; KW-0408; KW-0411; KW-0479"		"Inferred from homology"	"unreviewed"		"UPI0000068A67"	"CATALYTIC ACTIVITY (1); SIMILARITY (1)"	"Domain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PZK7"	"PGK_METMA"	"Phosphoglycerate kinase (EC 2.7.2.3)"	"pgk MM_0485"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0004618; GO:0005524; GO:0005737; GO:0006096"	"cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]"	"glycolytic process [GO:0006096]"	"cytoplasm [GO:0005737]"	"ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]"	192952		"MM_0485"		"pgk"	"UP000000595: Chromosome"	"Phosphoglycerate kinase family"	"WP_011032438.1;"	"mma:MM_0485;"	"24838442;"	"AAM30181;"	2	"ATP-binding;Cytoplasm;Glycolysis;Kinase;Nucleotide-binding;Transferase"		"KW-0067; KW-0963; KW-0324; KW-0418; KW-0547; KW-0808"		"Inferred from homology"	"reviewed"		"UPI00001317F8"	"CATALYTIC ACTIVITY (1); PATHWAY (1); SIMILARITY (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Binding site (7); Chain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00145}."		
"Q8PZM4"	"Q8PZM4_METMA"	"Probable queuosine precursor transporter (Q precursor transporter)"	"MM_0468"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005886; GO:0022857; GO:1990397"	"plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; queuosine salvage [GO:1990397]"	"queuosine salvage [GO:1990397]"	"plasma membrane [GO:0005886]"	"transmembrane transporter activity [GO:0022857]"	192952		"MM_0468"			"UP000000595: Chromosome"	"Vitamin uptake transporter (VUT/ECF) (TC 2.A.88) family, Q precursor transporter subfamily"	"WP_011032421.1;"	"mma:MM_0468;"	"44086312;66134355;"	"AAM30164;"	2	"Cell membrane;Membrane;Transmembrane;Transmembrane helix;Transport"		"KW-1003; KW-0472; KW-0812; KW-1133; KW-0813"		"Inferred from homology"	"unreviewed"		"UPI0000068A57"	"FUNCTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1)"	"Transmembrane (5)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|HAMAP-Rule:MF_02088}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_02088}."		"TRANSMEM 6..22; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_02088""; TRANSMEM 29..52; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_02088""; TRANSMEM 58..77; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_02088""; TRANSMEM 89..111; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_02088""; TRANSMEM 131..157; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_02088"""
"Q8PZM7"	"Q8PZM7_METMA"	"Putative cobalt transport protein CbiM (Energy-coupling factor transporter probable substrate-capture protein CbiM) (ECF transporter S component CbiM)"	"cbiM MM_0465"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0009236; GO:0015087; GO:0043190"	"ATP-binding cassette (ABC) transporter complex [GO:0043190]; cobalt ion transmembrane transporter activity [GO:0015087]; cobalamin biosynthetic process [GO:0009236]"	"cobalamin biosynthetic process [GO:0009236]"	"ATP-binding cassette (ABC) transporter complex [GO:0043190]"	"cobalt ion transmembrane transporter activity [GO:0015087]"	192952		"MM_0465"		"cbiM"	"UP000000595: Chromosome"	"CbiM family"	"WP_011032418.1;"	"mma:MM_0465;"	"24877010;"	"AAM30161;"	2	"Cell membrane;Cobalamin biosynthesis;Cobalt;Cobalt transport;Ion transport;Membrane;Transmembrane;Transmembrane helix;Transport"		"KW-1003; KW-0169; KW-0170; KW-0171; KW-0406; KW-0472; KW-0812; KW-1133; KW-0813"		"Inferred from homology"	"unreviewed"		"UPI0000068A54"	"FUNCTION (1); PATHWAY (1); SIMILARITY (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Transmembrane (7)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|HAMAP-Rule:MF_01462}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01462}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."		"TRANSMEM 12..29; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_01462""; TRANSMEM 41..58; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_01462""; TRANSMEM 78..101; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_01462""; TRANSMEM 108..127; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_01462""; TRANSMEM 133..155; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_01462""; TRANSMEM 162..179; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_01462""; TRANSMEM 185..209; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_01462"""
"Q8PZM8"	"Q8PZM8_METMA"	"Cobalt transport protein CbiN (Energy-coupling factor transporter probable substrate-capture protein CbiN) (ECF transporter S component CbiN)"	"cbiN MM_0464"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005886; GO:0009236; GO:0015087"	"plasma membrane [GO:0005886]; cobalt ion transmembrane transporter activity [GO:0015087]; cobalamin biosynthetic process [GO:0009236]"	"cobalamin biosynthetic process [GO:0009236]"	"plasma membrane [GO:0005886]"	"cobalt ion transmembrane transporter activity [GO:0015087]"	192952		"MM_0464"		"cbiN"	"UP000000595: Chromosome"	"CbiN family"	"WP_011032417.1;"	"mma:MM_0464;"	"44086316;66134359;"	"AAM30160;"	2	"Cell membrane;Cobalamin biosynthesis;Cobalt;Cobalt transport;Ion transport;Membrane;Transmembrane;Transmembrane helix;Transport"	"CAUTION: Lacks conserved residue(s) required for the propagation of feature annotation. {ECO:0000256|HAMAP-Rule:MF_00330}."	"KW-1003; KW-0169; KW-0170; KW-0171; KW-0406; KW-0472; KW-0812; KW-1133; KW-0813"		"Inferred from homology"	"unreviewed"		"UPI0000068A53"	"CAUTION (1); FUNCTION (1); PATHWAY (1); SIMILARITY (1); SUBCELLULAR LOCATION (1); SUBUNIT (1)"	"Transmembrane (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|HAMAP-Rule:MF_00330}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00330}."		"TRANSMEM 68..88; /note=""Helical""; /evidence=""ECO:0000256|HAMAP-Rule:MF_00330"""
"Q8PZN0"	"Y462_METMA"	"Putative ABC transporter ATP-binding protein MM_0462 (EC 7.-.-.-)"	"MM_0462"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005524; GO:0005886; GO:0006824; GO:0016887"	"plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cobalt ion transport [GO:0006824]"	"cobalt ion transport [GO:0006824]"	"plasma membrane [GO:0005886]"	"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]"	192952		"MM_0462"			"UP000000595: Chromosome"	"ABC transporter superfamily"	"WP_048045849.1;"	"mma:MM_0462;"	"1478804;"	"AAM30158;"	2	"ATP-binding;Cell membrane;Membrane;Nucleotide-binding;Translocase;Transport"		"KW-0067; KW-1003; KW-0472; KW-0547; KW-1278; KW-0813"		"Inferred from homology"	"reviewed"		"UPI000049807F"	"FUNCTION (1); SEQUENCE CAUTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1)"	"Binding site (1); Chain (1); Domain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}."		
"Q8PZN4"	"COAD_METMA"	"Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)"	"coaD MM_0458"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0004595; GO:0005524; GO:0005737; GO:0015937"	"cytoplasm [GO:0005737]; ATP binding [GO:0005524]; pantetheine-phosphate adenylyltransferase activity [GO:0004595]; coenzyme A biosynthetic process [GO:0015937]"	"coenzyme A biosynthetic process [GO:0015937]"	"cytoplasm [GO:0005737]"	"ATP binding [GO:0005524]; pantetheine-phosphate adenylyltransferase activity [GO:0004595]"	192952		"MM_0458"		"coaD"	"UP000000595: Chromosome"	"Eukaryotic CoaD family"	"WP_011032411.1;"	"mma:MM_0458;"	"44086322;"	"AAM30154;"	2	"ATP-binding;Coenzyme A biosynthesis;Cytoplasm;Nucleotide-binding;Nucleotidyltransferase;Transferase"		"KW-0067; KW-0173; KW-0963; KW-0547; KW-0548; KW-0808"		"Inferred from homology"	"reviewed"		"UPI0000068A4D"	"CATALYTIC ACTIVITY (1); FUNCTION (1); PATHWAY (1); SIMILARITY (1); SUBCELLULAR LOCATION (1)"	"Chain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00647}."		
"Q8PZN5"	"RADA_METMA"	"DNA repair and recombination protein RadA"	"radA MM_0457"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0003684; GO:0005524; GO:0006281; GO:0006310; GO:0140664"	"ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]"	"DNA recombination [GO:0006310]; DNA repair [GO:0006281]"		"ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]"	192952		"MM_0457"		"radA"	"UP000000595: Chromosome"	"Eukaryotic RecA-like protein family"	"WP_015411114.1;"	"mma:MM_0457;"	"44086323;66134366;"	"AAM30153;"	2	"ATP-binding;DNA damage;DNA recombination;DNA-binding;Nucleotide-binding"		"KW-0067; KW-0227; KW-0233; KW-0238; KW-0547"		"Inferred from homology"	"reviewed"		"UPI00001C0427"	"FUNCTION (1); SEQUENCE CAUTION (1); SIMILARITY (1)"	"Binding site (1); Chain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PZN6"	"PGP_METMA"	"Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)"	"MM_0456"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0000287; GO:0005975; GO:0008967; GO:0016311"	"magnesium ion binding [GO:0000287]; phosphoglycolate phosphatase activity [GO:0008967]; carbohydrate metabolic process [GO:0005975]; dephosphorylation [GO:0016311]"	"carbohydrate metabolic process [GO:0005975]; dephosphorylation [GO:0016311]"		"magnesium ion binding [GO:0000287]; phosphoglycolate phosphatase activity [GO:0008967]"	192952		"MM_0456"			"UP000000595: Chromosome"	"Archaeal SPP-like hydrolase family"	"WP_011032409.1;"	"mma:MM_0456;"	"44086324;66134367;"	"AAM30152;"	2	"Carbohydrate metabolism;Hydrolase;Magnesium;Metal-binding"		"KW-0119; KW-0378; KW-0460; KW-0479"		"Inferred from homology"	"reviewed"		"UPI0000068A4B"	"CATALYTIC ACTIVITY (1); COFACTOR (1); FUNCTION (1); SIMILARITY (1)"	"Active site (1); Binding site (5); Chain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PZP7"	"TIAS_METMA"	"tRNA(Ile2) 2-agmatinylcytidine synthetase TiaS (tRNA(Ile2)-agm2C synthetase) (EC 6.3.4.22) (tRNA(Ile2) agmatidine synthetase)"	"tiaS MM_0445"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0002101; GO:0005524; GO:0005737; GO:0016879"	"cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; tRNA wobble cytosine modification [GO:0002101]"	"tRNA wobble cytosine modification [GO:0002101]"	"cytoplasm [GO:0005737]"	"ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]"	192952		"MM_0445"		"tiaS"	"UP000000595: Chromosome"	"TiaS family"	"WP_048036545.1;"	"mma:MM_0445;"	"44086338;66134380;"	"AAM30141;"	2	"ATP-binding;Cytoplasm;Ligase;Nucleotide-binding;tRNA processing"		"KW-0067; KW-0963; KW-0436; KW-0547; KW-0819"		"Inferred from homology"	"reviewed"		"UPI0002058322"	"CATALYTIC ACTIVITY (1); FUNCTION (1); SEQUENCE CAUTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1)"	"Chain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01892}."		
"Q8PZP8"	"Y444_METMA"	"Putative HTH-type transcriptional regulatory protein MM_0444"	"MM_0444"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0003677; GO:0003700"	"DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]"			"DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]"	192952		"MM_0444"			"UP000000595: Chromosome"		"WP_011032397.1;"	"mma:MM_0444;"	"24863958;66134381;"	"AAM30140;"	2	"DNA-binding;Transcription;Transcription regulation"		"KW-0238; KW-0804; KW-0805"		"Inferred from homology"	"reviewed"		"UPI0000139800"		"Chain (1); DNA binding (1); Domain (1); Region (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PZR1"	"Q8PZR1_METMA"	"type I site-specific deoxyribonuclease (EC 3.1.21.3)"	"MM_0431"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0003677; GO:0005524; GO:0009035; GO:0009307"	"ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]; DNA restriction-modification system [GO:0009307]"	"DNA restriction-modification system [GO:0009307]"		"ATP binding [GO:0005524]; DNA binding [GO:0003677]; type I site-specific deoxyribonuclease activity [GO:0009035]"	192952		"MM_0431"			"UP000000595: Chromosome"	"HsdR family"	"WP_011032384.1;"	"mma:MM_0431;"	"1478773;"	"AAM30127;"	2	"ATP-binding;DNA-binding;Endonuclease;Hydrolase;Nuclease;Nucleotide-binding;Restriction system"		"KW-0067; KW-0238; KW-0255; KW-0378; KW-0540; KW-0547; KW-0680"		"Inferred from homology"	"unreviewed"		"UPI0000068A35"	"CATALYTIC ACTIVITY (1); SIMILARITY (1)"	"Domain (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PZR3"	"Q8PZR3_METMA"	"site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)"	"MM_0429"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0003677; GO:0008170; GO:0009007"	"DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]"			"DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]"	192952		"MM_0429"			"UP000000595: Chromosome"		"WP_011032382.1;"	"mma:MM_0429;"	"24838498;"	"AAM30125;"	2	"3D-structure;Methyltransferase;S-adenosyl-L-methionine;Transferase"		"KW-0002; KW-0489; KW-0949; KW-0808"		"Evidence at protein level"	"unreviewed"		"UPI0000068A33"	"CATALYTIC ACTIVITY (1)"	"Domain (2)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PZS4"	"Q8PZS4_METMA"	"Flagellin"	"MM_0418"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0005198; GO:0016020; GO:0097588; GO:0097589"	"archaeal-type flagellum [GO:0097589]; membrane [GO:0016020]; structural molecule activity [GO:0005198]; archaeal or bacterial-type flagellum-dependent cell motility [GO:0097588]"	"archaeal or bacterial-type flagellum-dependent cell motility [GO:0097588]"	"archaeal-type flagellum [GO:0097589]; membrane [GO:0016020]"	"structural molecule activity [GO:0005198]"	192952		"MM_0418"			"UP000000595: Chromosome"	"Archaeal flagellin family"	"WP_011032371.1;"	"mma:MM_0418;"	"24838509;"	"AAM30114;"	2	"Archaeal flagellum;Membrane;Transmembrane;Transmembrane helix"		"KW-0974; KW-0472; KW-0812; KW-1133"		"Inferred from homology"	"unreviewed"		"UPI0000068A2A"	"FUNCTION (1); SIMILARITY (1); SUBCELLULAR LOCATION (1)"	"Transmembrane (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"			"SUBCELLULAR LOCATION: Archaeal flagellum {ECO:0000256|ARBA:ARBA00004618, ECO:0000256|RuleBase:RU361282}."		"TRANSMEM 21..43; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""
"Q8PZV2"	"Q8PZV2_METMA"	"CoB--CoM heterodisulfide reductase iron-sulfur subunit A (EC 1.8.-.-)"	"MM_0387"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0016491; GO:0046872; GO:0051539"	"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]"			"4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]"	192952		"MM_0387"			"UP000000595: Chromosome"	"HdrA family"	"WP_011032341.1;"	"mma:MM_0387;"	"1478729;"	"AAM30083;"	2	"4Fe-4S;FAD;Flavoprotein;Iron;Iron-sulfur;Metal-binding;Oxidoreductase"		"KW-0004; KW-0274; KW-0285; KW-0408; KW-0411; KW-0479; KW-0560"		"Inferred from homology"	"unreviewed"		"UPI0000068A10"	"COFACTOR (2); FUNCTION (1); PATHWAY (1); SIMILARITY (1); SUBUNIT (1)"	"Domain (4)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
"Q8PZY2"	"Q8PZY2_METMA"	"Glutamate dehydrogenase"	"MM_0357"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	"GO:0000166; GO:0006520; GO:0016639"	"nucleotide binding [GO:0000166]; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]; amino acid metabolic process [GO:0006520]"	"amino acid metabolic process [GO:0006520]"		"nucleotide binding [GO:0000166]; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]"	192952		"MM_0357"			"UP000000595: Chromosome"	"Glu/Leu/Phe/Val dehydrogenases family"	"WP_011032311.1;"	"mma:MM_0357;"	"44086444;66134476;"	"AAM30053;"	2	"NAD;Nucleotide-binding;Oxidoreductase"		"KW-0520; KW-0547; KW-0560"		"Inferred from homology"	"unreviewed"		"UPI00000689F2"	"SIMILARITY (1); SUBUNIT (1)"	"Active site (1); Binding site (2); Domain (1); Site (1)"	"Methanosarcina mazei (species), Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)"	"2209 (species), 2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)"					
